41;;2025-06-01;7791293041537;REXONA DEO AER WO ACTIVE EMOTION;7 ;;
127;VKI030507F;2024-09-01;78924529;DOVE DEO ROLL ON INVISIBLE DRY;4 ;;
127;VKB041635F;2024-02-01;78924529;DOVE DEO ROLL ON INVISIBLE DRY;6 ;;
196;524E16/01/23;2026-01-01;7791600173135;PACO COLONIA;7 ;;
214;S10112;2025-09-01;7703332003352;LACTIBON LOCION;1 ;;
227;123104040F;2023-12-01;4005808323258;NIVEA BODY HIDRAT. REAF. Q 10;2 ;;
292;109E29/09/22;2025-09-01;7791600174767;COLBERT NOIR DEO AEROSOL;2 ;;
349;23861357;2025-02-01;4005808315680;NIVEA BODY MILK NUTRIT EXTRA SECA;6 ;;
352;;2026-03-01;1100351000014;DOVE DEO AER ORIGINAL;37 ;;
386;1770223;2026-02-01;7840508008558;CAREY REPARADOR DE PUNTAS CERAMIDAS;1 ;;
386;0801022;2025-10-01;7840508008558;CAREY REPARADOR DE PUNTAS CERAMIDAS;1 ;;
387;0580323;2025-03-01;7840508009296;CAREY CREMA PARA MASAJE MENTOL;6 ;;
387;0580323;2025-03-01;7840508009296;CAREY CREMA PARA MASAJE MENTOL;5 ;;
389;2190522;2024-05-01;7840508014320;CAREY CREMA PARA MASAJE REDUCTORA;2 ;;
392;2741122;2025-11-01;7840508011770;CAREY REPARADOR DE PUNTAS A.VERA;1 ;;
402;RY21/003;2024-10-01;7897042005024;SKALA BA�O DE CREMA COQ.FRUTAS;3 ;;
406;RY22-1/004;2025-05-01;7897042005048;SKALA BA�O DE CREMA AGUACATE;4 ;;
407;RY22-1/001;2025-04-01;7897042006021;SKALA BA�O DE CREMA LAMA NEGRA;2 ;;
411;8320A;2025-07-01;7794728011273;DEPIMIEL CERA VEGETAL KIT;3 ;;
413;2740023;2025-02-01;7840508017055;CAREY ACEITE DE ALMENDRA;16 ;;
515;U1976;2025-06-01;7791274192241;ALGABO BABY SUAVE BRISA COL.;2 ;;
568;VEB07;2026-02-01;7501056340117;SEDAL CREMA P/ PEINAR LISO PERFECTO;7 ;;
570;LMG230600;2025-07-01;7898422746759;DOVE JABON ORIGINAL;5 ;;
598;1127435300;2024-04-01;7500435020305;PANTENE AC FZ RECON;2 ;;
598;2060435300;2025-02-01;7500435020305;PANTENE AC FZ RECON;4 ;;
615;;2026-03-01;7791293040028;DOVE AER GO FRESH PEPINO;3 ;;
633;EG2362;2025-10-01;7791293042206;DOVE SH RECON COMPLETA;3 ;;
674;2823;;7793970550882;BABELITO ALICATE C/ MANGO;8 ;;
