7793742003080;23063;SALAC SHAMPOO;1;47;2023-11-01;;;
7793742007521;6687;DERMAGLOS UA CONTORNO DE OJOS +50;1;1008;2023-07-01;;;
7848002040180;25349;NEUMOFIEL INFANTIL NF SOL. ORAL;1;52203;2024-03-01;;;
7848002040173;25350;NEUMOFIEL ADULTO NF SOL. ORAL;1;162204;2024-04-01;;;
7840213266298;29655;RIMEVAX PLUS SOL. SPRAY NASAL;1;220480;2024-01-01;;;
7848002040081;29653;LIMINE 4 MG. SOL. INY.;1;220505;2024-02-01;;;
7848002040098;29654;LIMINE 8 MG. SOL. INY.;1;221546;2024-04-01;;;
7841106001767;28742;ANEVIT COMPLEX JBE;1;3013522;2024-03-01;S09;;
7898671425566;29652;RUBY ROSE POMADA SECATIVA ANTIACNE;1;4920822002;2025-08-01;;;
7840213029770;14481;PERENNUM® CAPS. C/ MICROGRANULOS DE ACC.;1;0000000004;2024-05-01;S09;;
7798129414435;14660;MOPERIDONA AF GOTAS;1;00001;2023-11-01;S08;;
7791984001031;25138;FLEXINA 600 COMP. REC.;1;00003;2024-05-01;S08;;
7840036103398;7146;MENTOLINA CARAMELOS CHERRY;7;00004;2023-08-01;S16;;
7791984001031;25138;FLEXINA 600 COMP. REC.;1;00004;2024-05-01;S08;;
7795345122298;7300;SERTAL FEM;2;00010;2025-02-01;S08;;
7795368547450;7778;LARSIMAL NF GOTAS;1;00013;2024-08-01;S11;;
7795345122779;25890;MAGNUS 36 20MG;19;00013;2025-05-01;S08;;
7795368001112;25926;XEGREX SOL. OFTAL. EST.;2;00024;2024-08-01;S11;;
7795368001075;26530;TRALER SOL. OFT. ESTERIL;1;00031;2024-01-01;S11;;
7795368001563;26387;YSTAN EMULSION;1;00037;2024-10-01;S11;;
7795368000924;7752;KUARA GOTAS POEN;1;00040;2024-05-01;S11;;
7795368000283;6612;BRIMOPRESS T;1;00042;2024-01-01;S11;;
7795368000733;27954;TOPTEAR P SOL. OFT. EST.;1;00055;2023-12-01;S11;;
7795368054866;29515;LOTEMICIN SUSP. OFTALMICA;1;00059;2024-03-01;CAJA 01;;
7840213029398;22613;MAXIVIT C SOL. GOT. ORALES;2;000613;2024-06-01;S09;;
7795368054941;21212;ATERGIT SOL. OFT.;1;00063;2024-12-01;S11;;
7795345012469;19765;SERTAL COMPUESTO FORTE COMP. REC.;1;00064;2024-10-01;S08;;
7795368002942;7301;LOUTEN  EMULSION OFTALMICA;1;00082;2023-07-01;S 07;;
7795368055276;22320;BRONAX SOL. OFT. ESTERIL;1;00084;2024-05-01;S11;;
7795368001624;6898;AUCIC PLUS;1;00090;2024-07-01;S11;;
7841106002733;28758;LONER B JBE;1;00100;2024-05-01;S09;;
7795380043701;16850;TRITAB SUSP. ORAL;1;0010100001;2024-04-01;S08;;
7730698307411;9912;AMOXIDAL 500 MG. CAPS.;2;00105;2025-05-01;S08;;
7795368002201;17579;LOUTEN T SOL. OFT. ESTERIL;1;00112;2024-05-31;;;
7840274607757;29433;CALMADENTOL PLUS 20MG.;1;0012207;2024-07-01;S09;;
7795345011585;24348;LOTRIAL 2,5 MG. COMP.;2;00126;2023-07-01;S 07;;
7795345007120;9935;DECIDEX SOL. GOTAS ORALES;1;00128;2025-03-01;S08;;
7841106002764;28756;ANAMOX CLAV DUO;1;00132;2024-11-01;S09;;
7841106002740;28757;LONER B;1;00150;2023-09-01;S13;;
7795368054811;26117;AUCIC 0,5% SOL. OFT. EST.;1;00163;2024-05-01;S11;;
7793742002984;23902;HIPOGLOS CUIDADO DIARIO;4;0018;2024-08-01;S09;;
7795368001600;1808;LOTESOFT 0.5%;1;00185;2024-01-01;S11;;
7795345007144;9936;DECIDEX SOL.;1;00188;2024-10-01;S08;;
7795368000788;29283;GOTABIOTIC D SOL OFT;1;00190;2024-03-01;S11;;
7795368055122;26118;AUCIC 1% SOL. OFT. EST.;1;00196;2024-05-01;S11;;
7793742006715;23879;SINAC 0,3% GEL;1;0020;2023-07-01;S 07;;
