17066;5465;2022-10-12;7840036008228;FINIDOL 200 SUSP.;0
19949;L210882;2023-12-31;7841134003245;ACUASOL SOL. BEB.;0
20563;L61864;2024-04-30;7841134003016;ACTOCEF 500 COMP. REC.;0
8865;L220431;2024-06-30;7841134000039;ALDOXOL FORTE 100 MG. COMP.;0
8864;L220698;2022-09-30;7841134000022;ALDOXOL 25 MG. COMP.;0
24499;L220059;2024-01-31;7841134008790;ALERSONA SUSP. SPRAY NASAL;0
25289;L220172;2024-01-31;7841134009216;ALGILEM COMPLEX COMP. REC.;0
18593;L220492;2025-07-31;7841134000046;ALGILEM GESIC COMP. REC.;0
19747;L220030;2024-01-31;7841134000053;ALGILEM RELAX COMP. REC.;0
24165;L220197;2024-03-31;7841134007656;BETADEX SUSP. INY.;0
19779;L220436;2025-06-30;7841134005232;BUDECORT SUSP. P/ NEBULIZAR;0
25784;L070S002A;2024-02-28;7841134009292;BUDECORT SUSP. EN AEROSOL;0
8872;L220171;2024-03-31;7841134000084;CARDIETIC 10 MG. COMP.;0
26343;L220296;2024-05-31;7841134009575;CETRIZET COMP. REC.;0
26225;L220462;2024-06-30;7841134009599;CETRIZET JARABE;0
26226;L220389;2024-06-30;7841134009551;CETRIZET D JARABE;0
8875;L220186;2024-03-31;7841134000411;CONFIUM COMP.;0
20982;L220411;2024-06-30;7841134007281;CLORUSOL;0
19865;L220355;2024-05-31;7841134003283;CRONOVAL JBE.;0
18949;L220379;2025-05-31;7841134000473;DIGESTIC COMP.;0
26499;L210773;0203-11-30;7841134009254;DESNASAL COMP. REC.;0
25441;L220645;2024-08-31;7841134009315;DESNASAL JARABE;0
8877;L53943;2023-05-31;7841134000596;ETIFORT CAPS.;0
24077;L210813;2023-11-30;7841134008516;ETIDOL SUSP.;0
26803;L001422;2024-01-31;7841134009926;ETIDOL 400 CAPS. BLAN.;0
26933;L0008922;2025-02-28;7841134010069;ETIDOL 600 CAPS. BLANDAS;0
6303;L007722;2024-02-28;7841134010564;ETIDOL PLUS;0
7768;L004822;2024-01-31;7841134011288;ETIDOL RELAX;0
3069;1;2023-12-31;7790250000358;ELITE PAÑUELOS DISPLEY;8
7573;2;2024-12-31;7806500174257;ELITE PAÑUELO ANTIVIRAL;4
991;3;2024-12-31;7840010001177;MAR JABON GLICERINA;13
457;4;2023-12-31;7840010001184;MAR JABON GLICERINA;24
28300;5;2023-12-31;7840010037503;MAR JABON BLANCO HUMECTANTE;20
28302;6;2023-12-31;7840010037527;MAR JABON ROSA SUAVIDAD;24
28301;7;2023-12-31;7840010038012;MAR JABON NARANJA NUTRITIVA;24
28303;8;2023-12-31;7840010201119;MAR JABON VAINILLA TOUCH;24
28299;9;2023-12-31;7840010202789;MAR JABON CANNABIS;6
10213;36528;2025-04-01;7840653000575;Z MOL 200 MG. GOTAS;80
16310;37125;2024-04-01;7840653002524;Z CAL REUMA FORTE;18
1827;10333V2AC2-0;2024-03-28;8809319390169;CODEFREE TIRAS REACTIVAS;100
1828;10337C1AC1-0;2024-06-12;8809319398509;CODEFREE APARATO;10
10;031523-10;2024-12-31;7840653004702;INDUCORT CRONO;497
214;031523-214;2024-12-31;7703332003352;LACTIBON LOCION;500
313;031523-313;2024-12-31;7840282034095;CURADENTOL SOL. GOTAS;500
319;031523-319;2024-12-31;7840315224486;XICANIL LOCION ASTRINGENTE;500
436;031523-436;2024-12-31;7840213029381;MAXIVIT C 500;499
623;031523-623;2024-12-31;7795356997458;CARDIAX;500
651;031523-651;2024-12-31;7800062005035;SANDERSON SUERO FIS;500
884;031523-884;2024-12-31;7841134001517;VERALBEN BEBIBLE;496
975;031523-975;2024-12-31;7841134007953;SEDABRON PLUS;498
1037;031523-1037;2024-12-31;4005808341757;NIVEA BODY MILK SOFT PIEL SECA;500
1197;031523-1197;2024-12-31;7840199088136;DELTAR COLIRIO;498
1239;031523-1239;2024-12-31;7795356099329;MAGNUS GEL 6 SACHETS;500
1286;031523-1286;2024-12-31;7891058018634;LACTACYD PRO BIO DELICATA JAZMIN;500
1527;031523-1527;2024-12-31;3660398500703;CYSTINE B6 SHAMPOO;499
1577;031523-1577;2024-12-31;7896000614278;KUKA MAMADERA ACUARELA BICO;498
1808;031523-1808;2024-12-31;7795368001600;LOTESOFT 0.5%;500
1872;031523-1872;2024-12-31;7703281000365;LACTIBON FEM LOCION;496
2071;031523-2071;2024-12-31;7840036101707;CARDIOSAN PLUS 40/12.5;500
2076;031523-2076;2024-12-31;8470003597296;MELAGYN GEL;500
2143;031523-2143;2024-12-31;7800007771193;HIEDRIX 35MG;500
2145;031523-2145;2024-12-31;7840653003347;APIRON GOTAS;492
2148;031523-2148;2024-12-31;7840213027400;AAS 125;495
2352;031523-2352;2024-12-31;7800060039643;OFTAFILM COLIRIO;500
2510;031523-2510;2024-12-31;7798095171202;FORMIDABLE CRECER INICIO 1;497
2511;031523-2511;2024-12-31;7798095171226;FORMIDABLE CRECER INICIO 1;500
2512;031523-2512;2024-12-31;7798095171233;FORMIDABLE CRECER CONTINUACION 2;500
2518;031523-2518;2024-12-31;7793742007637;DERMAGLOS FACIAL HIDRATANTE DIA PIEL SECA FPS;499
2519;031523-2519;2024-12-31;7793742002915;DERMAGLOS FACIAL HIDRATANTE PIELE NORMAL A SE;500
2578;031523-2578;2024-12-31;7840653006836;FUSIFAR CREMA;500
2681;031523-2681;2024-12-31;7840508012685;CAREY KIT RUBIO CL 8.3;498
2748;031523-2748;2024-12-31;731124100054;BIOFREEZE GEL;500
2771;031523-2771;2024-12-31;7841376000590;NUCLEOTIDINA C.M.P + U;500
3361;031523-3361;2024-12-31;7861073904182;SUPRAMYCINA FORTE 200MG;498
